Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 488
Model config: {'sequence_len': 2048, 'vocab_size': 488, 'n_layer': 3, 'n_head': 1, 'n_kv_head': 1, 'n_embd': 128, 'window_pattern': 'L', 'dropout': 0.25}
Parameter counts:
  wte                     : 62,464
  value_embeds            : 124,928
  lm_head                 : 62,464
  transformer_matrices    : 589,888
  scalars                 : 6
  total                   : 839,750
Estimated FLOPs per token: 1.335130e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 6.188484 | lrm: 1.00 | dt: 1706ms | tok/sec: 38,409 | mfu: 0.1% | epoch: 14 | remaining: 300s    
step 00001 (0.0%) | loss: 6.014356 | lrm: 1.00 | dt: 1179ms | tok/sec: 55,605 | mfu: 0.1% | epoch: 21 | remaining: 300s    
step 00002 (0.0%) | loss: 5.688120 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,145 | mfu: 0.1% | epoch: 28 | remaining: 300s    
step 00003 (0.0%) | loss: 5.298899 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,148 | mfu: 0.1% | epoch: 34 | remaining: 300s    
step 00004 (0.0%) | loss: 4.911277 | lrm: 1.00 | dt: 1179ms | tok/sec: 55,607 | mfu: 0.1% | epoch: 41 | remaining: 300s    
step 00005 (0.0%) | loss: 4.547327 | lrm: 1.00 | dt: 1257ms | tok/sec: 52,153 | mfu: 0.1% | epoch: 48 | remaining: 300s    
step 00006 (0.0%) | loss: 4.209180 | lrm: 1.00 | dt: 1235ms | tok/sec: 53,077 | mfu: 0.1% | epoch: 54 | remaining: 300s    
step 00007 (0.0%) | loss: 3.902201 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,184 | mfu: 0.1% | epoch: 61 | remaining: 300s    
step 00008 (0.0%) | loss: 3.626094 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,133 | mfu: 0.1% | epoch: 68 | remaining: 300s    
step 00009 (0.0%) | loss: 3.380384 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,955 | mfu: 0.1% | epoch: 74 | remaining: 300s    
step 00010 (0.0%) | loss: 3.163471 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,957 | mfu: 0.1% | epoch: 81 | remaining: 300s    
step 00011 (0.0%) | loss: 2.972897 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,103 | mfu: 0.1% | epoch: 88 | remaining: 299s    
step 00012 (0.4%) | loss: 2.805464 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,047 | mfu: 0.1% | epoch: 94 | remaining: 298s    
step 00013 (0.8%) | loss: 2.658657 | lrm: 1.00 | dt: 1173ms | tok/sec: 55,862 | mfu: 0.1% | epoch: 101 | remaining: 296s    
step 00014 (1.2%) | loss: 2.529207 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,025 | mfu: 0.1% | epoch: 108 | remaining: 295s    
step 00015 (1.6%) | loss: 2.413879 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,322 | mfu: 0.1% | epoch: 114 | remaining: 294s    
